    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
     10.40,      63.99974,      14.69557,     0.0002041,     0.0014707,     0.0009161,     0.0003427,     0.0001399,     0.0000519,     0.0000201
     10.50,      64.00031,      15.19739,     0.0002111,     0.0014745,     0.0009185,     0.0003436,     0.0001402,     0.0000521,     0.0000202
     10.60,      63.99974,      15.69699,     0.0002180,     0.0014777,     0.0009205,     0.0003443,     0.0001405,     0.0000522,     0.0000202
     10.70,      64.00031,      16.19256,     0.0002249,     0.0014803,     0.0009221,     0.0003449,     0.0001408,     0.0000523,     0.0000203
     10.80,      63.99974,      16.68246,     0.0002317,     0.0014823,     0.0009233,     0.0003454,     0.0001410,     0.0000523,     0.0000203
     10.90,      64.00031,      17.16522,     0.0002384,     0.0014838,     0.0009243,     0.0003457,     0.0001411,     0.0000524,     0.0000203
     11.00,      63.99974,      17.63952,     0.0002450,     0.0014848,     0.0009249,     0.0003460,     0.0001412,     0.0000524,     0.0000203
     11.10,      64.00031,      18.10426,     0.0002514,     0.0014853,     0.0009252,     0.0003461,     0.0001413,     0.0000524,     0.0000203
     11.20,      63.99974,      18.55849,     0.0002578,     0.0014854,     0.0009253,     0.0003461,     0.0001413,     0.0000524,     0.0000204
     11.30,      64.00031,      19.00145,     0.0002639,     0.0014852,     0.0009251,     0.0003460,     0.0001412,     0.0000524,     0.0000203
     11.40,      63.99974,      19.43255,     0.0002699,     0.0014846,     0.0009247,     0.0003459,     0.0001412,     0.0000524,     0.0000203
     11.50,      64.00031,      19.85135,     0.0002757,     0.0014837,     0.0009242,     0.0003457,     0.0001411,     0.0000524,     0.0000203
     11.60,      63.99974,      20.25754,     0.0002814,     0.0014825,     0.0009234,     0.0003454,     0.0001410,     0.0000523,     0.0000203
     11.70,      64.00031,      20.65096,     0.0002868,     0.0014811,     0.0009226,     0.0003451,     0.0001409,     0.0000523,     0.0000203
     11.80,      63.99974,      21.03155,     0.0002921,     0.0014796,     0.0009216,     0.0003447,     0.0001407,     0.0000522,     0.0000203
     11.90,      64.00031,      21.39938,     0.0002972,     0.0014779,     0.0009206,     0.0003443,     0.0001405,     0.0000522,     0.0000202
     12.00,      63.99974,      21.75457,     0.0003021,     0.0014761,     0.0009194,     0.0003439,     0.0001404,     0.0000521,     0.0000202
     12.10,      64.00031,      22.09735,     0.0003069,     0.0014742,     0.0009183,     0.0003435,     0.0001402,     0.0000520,     0.0000202
     12.20,      63.99974,      22.42798,     0.0003115,     0.0014722,     0.0009171,     0.0003430,     0.0001400,     0.0000520,     0.0000202
     12.30,      64.00031,      22.74680,     0.0003159,     0.0014703,     0.0009158,     0.0003426,     0.0001398,     0.0000519,     0.0000201
     12.40,      63.99974,      23.05418,     0.0003202,     0.0014683,     0.0009146,     0.0003421,     0.0001396,     0.0000518,     0.0000201
     12.50,      64.00031,      23.35050,     0.0003243,     0.0014664,     0.0009134,     0.0003417,     0.0001395,     0.0000518,     0.0000201
     12.60,      63.99974,      23.63619,     0.0003283,     0.0014645,     0.0009122,     0.0003412,     0.0001393,     0.0000517,     0.0000201
     12.70,      63.99919,      23.91169,     0.0003321,     0.0014627,     0.0009111,     0.0003408,     0.0001391,     0.0000516,     0.0000200
     12.80,      64.00086,      24.17744,     0.0003358,     0.0014609,     0.0009100,     0.0003404,     0.0001389,     0.0000516,     0.0000200
     12.90,      63.99919,      24.43388,     0.0003394,     0.0014592,     0.0009089,     0.0003400,     0.0001388,     0.0000515,     0.0000200
     13.00,      64.00086,      24.68146,     0.0003428,     0.0014576,     0.0009079,     0.0003396,     0.0001386,     0.0000515,     0.0000200
     13.10,      63.99919,      24.92062,     0.0003461,     0.0014561,     0.0009070,     0.0003393,     0.0001385,     0.0000514,     0.0000199
     13.20,      64.00086,      25.15178,     0.0003493,     0.0014548,     0.0009062,     0.0003390,     0.0001383,     0.0000514,     0.0000199
     13.30,      63.99919,      25.37536,     0.0003524,     0.0014535,     0.0009054,     0.0003387,     0.0001382,     0.0000513,     0.0000199
     13.40,      64.00086,      25.59176,     0.0003554,     0.0014524,     0.0009047,     0.0003384,     0.0001381,     0.0000513,     0.0000199
     13.50,      63.99919,      25.80137,     0.0003583,     0.0014513,     0.0009040,     0.0003382,     0.0001380,     0.0000512,     0.0000199
     13.60,      64.00086,      26.00458,     0.0003612,     0.0014504,     0.0009035,     0.0003380,     0.0001379,     0.0000512,     0.0000199
     13.70,      63.99919,      26.20171,     0.0003639,     0.0014497,     0.0009030,     0.0003378,     0.0001379,     0.0000512,     0.0000199
     13.80,      64.00086,      26.39312,     0.0003666,     0.0014490,     0.0009026,     0.0003376,     0.0001378,     0.0000512,     0.0000199
     13.90,      63.99919,      26.57912,     0.0003692,     0.0014485,     0.0009023,     0.0003375,     0.0001378,     0.0000511,     0.0000198
     14.00,      64.00086,      26.76001,     0.0003717,     0.0014482,     0.0009021,     0.0003374,     0.0001377,     0.0000511,     0.0000198
     14.10,      63.99919,      26.93610,     0.0003741,     0.0014479,     0.0009019,     0.0003374,     0.0001377,     0.0000511,     0.0000198
     14.20,      64.00086,      27.10763,     0.0003765,     0.0014478,     0.0009018,     0.0003373,     0.0001377,     0.0000511,     0.0000198
